start time;end time;elapsed utime;
160372169;160372454;285;
160373264;160373534;270;
160374356;160374627;271;
160375448;160375718;270;
160376541;160376811;270;
160377634;160377904;270;
160378727;160378987;260;
160379819;160380080;261;
160380913;160381226;313;
160382010;160382320;310;
160383107;160383420;313;
160384204;160384521;317;
160385303;160385592;289;
160386400;160386689;289;
160387497;160387786;289;
160388594;160388883;289;
160389697;160389986;289;
160390795;160391084;289;
160391892;160392152;260;
160392987;160393264;277;
160394079;160394360;281;
160395171;160395455;284;
160396265;160396525;260;
160397358;160397618;260;
160398451;160398711;260;
160399544;160399805;261;
160400637;160400897;260;
160401730;160402000;270;
160402823;160403093;270;
160403916;160404176;260;
160405009;160405285;276;
160406101;160406393;292;
160407193;160407478;285;
160408286;160408547;261;
160409379;160409639;260;
160410470;160410730;260;
160411561;160411821;260;
160412655;160412956;301;
160413752;160414041;289;
160414849;160415138;289;
160415945;160416256;311;
160417041;160417349;308;
160418136;160418450;314;
160419234;160419534;300;
160420337;160420626;289;
160421437;160421726;289;
160422534;160422801;267;
160423629;160423889;260;
160424722;160424982;260;
160425815;160426075;260;
160426908;160427168;260;
160428000;160428277;277;
160429092;160429379;287;
160430184;160430468;284;
160431279;160431549;270;
160432372;160432642;270;
160433465;160433735;270;
160434558;160434818;260;
160435651;160435911;260;
160436743;160437003;260;
160437836;160438096;260;
160438929;160439189;260;
160440020;160440294;274;
160441111;160441383;272;
160442202;160442483;281;
160443298;160443587;289;
160444396;160444685;289;
160445494;160445783;289;
160446591;160446891;300;
160447689;160447978;289;
160448787;160449076;289;
160449884;160450184;300;
160450981;160451317;336;
160452147;160452463;316;
160453248;160453537;289;
160454347;160454610;263;
160455442;160455702;260;
160456535;160456795;260;
160457628;160457888;260;
160458721;160458981;260;
160459813;160460073;260;
160460907;160461167;260;
160461999;160462282;283;
160463091;160463372;281;
160464183;160464498;315;
160465282;160465571;289;
160466379;160466668;289;
160467477;160467766;289;
160468574;160468863;289;
160469672;160469961;289;
