start time;end time;elapsed utime;
381034355;381034600;245;
381035358;381035603;245;
381036361;381036606;245;
381037363;381037608;245;
381038367;381038612;245;
381039369;381039614;245;
381040374;381040619;245;
381041378;381041623;245;
381042380;381042625;245;
381043383;381043628;245;
381044386;381044631;245;
381045389;381045634;245;
381046391;381046636;245;
381047394;381047639;245;
381048398;381048643;245;
381049402;381049647;245;
381050405;381050650;245;
381051409;381051654;245;
381052411;381052656;245;
381053413;381053658;245;
381054418;381054663;245;
381055420;381055665;245;
381056422;381056667;245;
381057424;381057669;245;
381058429;381058674;245;
381059433;381059678;245;
381060437;381060682;245;
381061440;381061685;245;
381062443;381062688;245;
381063447;381063692;245;
381064450;381064695;245;
381065453;381065698;245;
381066458;381066703;245;
381067461;381067706;245;
381068464;381068709;245;
381069470;381069715;245;
381070474;381070719;245;
381071478;381071723;245;
381072481;381072726;245;
381073485;381073730;245;
381074491;381074736;245;
381075494;381075739;245;
381076498;381076743;245;
381077502;381077747;245;
381078505;381078750;245;
381079509;381079754;245;
381080514;381080759;245;
381081517;381081762;245;
381082519;381082764;245;
381083523;381083768;245;
381084525;381084770;245;
381085527;381085772;245;
381086531;381086776;245;
381087534;381087779;245;
381088537;381088782;245;
381089541;381089786;245;
381090544;381090789;245;
381091548;381091793;245;
381092551;381092796;245;
381093555;381093800;245;
381094558;381094803;245;
381095561;381095806;245;
381096564;381096809;245;
381097567;381097812;245;
381098569;381098814;245;
381099572;381099817;245;
381100574;381100819;245;
381101577;381101822;245;
381102579;381102824;245;
381103582;381103827;245;
381104586;381104831;245;
381105589;381105834;245;
381106591;381106836;245;
381107594;381107839;245;
381108599;381108844;245;
381109603;381109848;245;
381110606;381110851;245;
381111609;381111854;245;
381112611;381112856;245;
381113614;381113859;245;
381114619;381114864;245;
381115623;381115868;245;
381116626;381116871;245;
381117628;381117873;245;
381118630;381118866;236;
381119634;381119863;229;
381120637;381120853;216;
381121639;381121855;216;
381122642;381122858;216;
381123645;381123861;216;
381124647;381124863;216;
381125649;381125865;216;
381126651;381126867;216;
381127653;381127869;216;
381128655;381128872;217;
381129656;381129872;216;
381130658;381130894;236;
381131661;381131897;236;
381132663;381132899;236;
381133666;381133902;236;
381134668;381134904;236;
381135670;381135906;236;
381136674;381136910;236;
381137676;381137912;236;
381138681;381138917;236;
381139683;381139928;245;
381140688;381140933;245;
381141691;381141936;245;
381142694;381142939;245;
381143698;381143943;245;
381144701;381144946;245;
381145705;381145950;245;
